Year,Age,Name,Movie,Gender
1928,44,Emil Jannings,"The Last Command, The Way of All Flesh",M
1929,41,Warner Baxter,In Old Arizona,M
1930,62,George Arliss,Disraeli,M
1931,53,Lionel Barrymore,A Free Soul,M
1932,47,Wallace Beery,The Champ,M
1933,35,Fredric March,Dr. Jekyll and Mr. Hyde,M
1934,34,Charles Laughton,The Private Life of Henry VIII,M
1935,34,Clark Gable,It Happened One Night,M
1936,49,Victor McLaglen,The Informer,M
1937,41,Paul Muni,The Story of Louis Pasteur,M
1938,37,Spencer Tracy,Captains Courageous,M
1939,38,Spencer Tracy,Boys Town,M
1940,34,Robert Donat,"Goodbye, Mr. Chips",M
1941,32,James Stewart,The Philadelphia Story,M
1942,40,Gary Cooper,Sergeant York,M
1943,43,James Cagney,Yankee Doodle Dandy,M
1944,48,Paul Lukas,Watch on the Rhine,M
1945,41,Bing Crosby,Going My Way,M
1946,39,Ray Milland,The Lost Weekend,M
1947,49,Fredric March,The Best Years of Our Lives,M
1948,57,Ronald Colman,A Double Life,M
1949,41,Laurence Olivier,Hamlet,M
1950,38,Broderick Crawford,All the King's Men,M
1951,39,José Ferrer,Cyrano de Bergerac,M
1952,52,Humphrey Bogart,The African Queen,M
1953,51,Gary Cooper,High Noon,M
1954,35,William Holden,Stalag 17,M
1955,30,Marlon Brando,On the Waterfront,M
1956,39,Ernest Borgnine,Marty,M
1957,36,Yul Brynner,The King and I,M
1958,43,Alec Guinness,The Bridge on the River Kwai,M
1959,49,David Niven,Separate Tables,M
1960,36,Charlton Heston,Ben-Hur,M
1961,47,Burt Lancaster,Elmer Gantry,M
1962,31,Maximilian Schell,Judgment at Nuremberg,M
1963,47,Gregory Peck,To Kill a Mockingbird,M
1964,37,Sidney Poitier,Lilies of the Field,M
1965,57,Rex Harrison,My Fair Lady,M
1966,42,Lee Marvin,Cat Ballou,M
1967,45,Paul Scofield,A Man for All Seasons,M
1968,42,Rod Steiger,In the Heat of the Night,M
1969,45,Cliff Robertson,Charly,M
1970,62,John Wayne,True Grit,M
1971,43,George C. Scott,Patton,M
1972,42,Gene Hackman,The French Connection,M
1973,48,Marlon Brando,The Godfather,M
1974,49,Jack Lemmon,Save the Tiger,M
1975,56,Art Carney,Harry and Tonto,M
1976,38,Jack Nicholson,One Flew Over the Cuckoo's Nest,M
1977,60,Peter Finch,Network,M
1978,30,Richard Dreyfuss,The Goodbye Girl,M
1979,40,Jon Voight,Coming Home,M
1980,42,Dustin Hoffman,Kramer vs. Kramer,M
